title,address,city,area,property_id,price,bedrooms,bathrooms,property_type
Retreat to Nature Jungle House Villa near Canggu,"Tabanan, Bali",Bali,Canggu,PR0774,Start from $144 USD per night,2,2,"Jungle View, Residential, Villa"
Luxurious Private Villa with Pool in Idyllic Pecatu Retreat,"Gg. Meregan &, Jl. Toya Ning II, Ungasan, South Kuta, Badung Regency, Bali",Bali,Ungasan,PR0774,"Start from $2,346 USD per Month",2,2,Villa
Villa by Rice Fields in Canggu,"Pura Wates Canggu No.39, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali",Bali,Canggu,PR0776,"Start from $2,200 USD per Month",2,2,"Rice paddy view, Villa"
Villa in Tumbak Bayuh,not found,not found,not found,PR0776,"Start from $2,200 USD per Month",2,2,"Rice paddy view, Villa"
Secluded 2BR Villa w/ Pool @ Complex in Nusa Dua,"Nusa Dua, Kuta Selatan, Badung, Bali",Bali,Nusa Dua,PR0715,"Start from $2,160 USD per Month",2,2,View
Modern Breezy Homey 2BR Villa with Pool near GWK,"Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Ungasan,PR0695,"Start from $2,400 USD per Month",2,2.5,Villa
Dainty Villa w/ Restful Pool for Group at Ungasan,"Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Ungasan,PR0678,"Start from $2,050 USD per Month",3,3,Villa
Spacious New Tropical Villa w/ GWK View,"Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,badung,PR0719,"Start from $3,200 USD per Month",3,3,"View, Villa"
Da Kelor,"Jl. Raya Gelogor, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali",Bali,Ubud,PR0719,Start from $151 USD for 15 year lease,2,2,"Guest House, Residential, Rice paddy view"
Tasteful Villa w/ Nice View of Rice Field in Jogja,"Dobalan, Timbulharjo, Sewon, Bantul",Yogyakarta,Yogyakarta,PR0720,Mulai dari Rp1.201.000 Rupiah per Malam,3,3,"Rice paddy view, Villa"
Town House in a Quiet Residence near Ambarrukmo,"Perum Jogja Town House 3, Kab. Bantul, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,PR0051,Mulai dari Rp1.020.000 Rupiah per Malam,3,2,Villa
Clean Room in Jogja Local Authentic Holiday House,"Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,PR0294,Mulai dari Rp410.500 USD per Malam,3,2,Guest House
